Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
chevalier_filledupirate. pers20	[0.0, 0.0]	[0.6, 0.0192]	[0.0, 0.0]	[0.0, 0.0]	[0.2, 0.002]	[0.2, 0.0233]	5
chevalier_filledupirate. pers21	[0.3333, 0.0015]	[0.3333, 0.0064]	[0.3333, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
chevalier_filledupirate. pers22	[0.5, 0.0015]	[0.0, 0.0]	[0.5, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers23	[0.0, 0.0]	[0.25, 0.0064]	[0.75, 0.0089]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers24	[0.0, 0.0]	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers25	[0.1915, 0.0134]	[0.1702, 0.0513]	[0.4681, 0.0653]	[0.0, 0.0]	[0.1277, 0.0119]	[0.0426, 0.0465]	47
chevalier_filledupirate. pers26	[0.1935, 0.0089]	[0.0, 0.0]	[0.129, 0.0119]	[0.2581, 0.0315]	[0.4194, 0.0258]	[0.0, 0.0]	31
chevalier_filledupirate. pers27	[0.5, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.002]	[0.0, 0.0]	2
chevalier_filledupirate. pers28	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
chevalier_filledupirate. pers29	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0039]	[0.75, 0.006]	[0.0, 0.0]	4
chevalier_filledupirate. pers30	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0119]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
chevalier_filledupirate. pers31	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers32	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
chevalier_filledupirate. pers33	[0.0, 0.0]	[0.0, 0.0]	[0.3333, 0.003]	[0.0, 0.0]	[0.6667, 0.004]	[0.0, 0.0]	3
chevalier_filledupirate. pers34	[0.0, 0.0]	[1.0, 0.0128]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. _	[0.2128, 0.0297]	[0.117, 0.0705]	[0.6596, 0.184]	[0.0, 0.0]	[0.0, 0.0]	[0.0106, 0.0233]	94
flaubert_madamebovary. pers1	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
flaubert_madamebovary. pers2	[0.1667, 0.003]	[0.1667, 0.0128]	[0.6667, 0.0237]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	12
flaubert_madamebovary. pers3	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers4	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers5	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers6	[0.4, 0.003]	[0.2, 0.0064]	[0.4, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
flaubert_madamebovary. pers7	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
flaubert_madamebovary. pers8	[0.0, 0.0]	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. _	[0.3418, 0.1204]	[0.0084, 0.0128]	[0.0464, 0.0326]	[0.2194, 0.2047]	[0.3797, 0.1786]	[0.0042, 0.0233]	237
merimee_carmen. pers1	[0.2857, 0.0059]	[0.0, 0.0]	[0.1429, 0.0059]	[0.2143, 0.0118]	[0.3571, 0.0099]	[0.0, 0.0]	14
merimee_carmen. pers2	[0.2, 0.003]	[0.2, 0.0128]	[0.2, 0.0059]	[0.3, 0.0118]	[0.1, 0.002]	[0.0, 0.0]	10
merimee_carmen. pers14	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0233]	1
merimee_carmen. pers4	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0465]	2
merimee_carmen. pers6	[0.1688, 0.0193]	[0.3766, 0.1859]	[0.2727, 0.0623]	[0.013, 0.0039]	[0.039, 0.006]	[0.1299, 0.2326]	77
merimee_carmen. pers7	[0.5, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.002]	[0.0, 0.0]	2
merimee_carmen. pers3	[0.4444, 0.0297]	[0.1778, 0.0513]	[0.1333, 0.0178]	[0.0667, 0.0118]	[0.1778, 0.0159]	[0.0, 0.0]	45
merimee_carmen. pers10	[0.5, 0.0045]	[0.0, 0.0]	[0.3333, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.1667, 0.0233]	6
merimee_carmen. pers8	[0.0, 0.0]	[1.0, 0.0128]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_carmen. pers9	[0.1429, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.4286, 0.0118]	[0.4286, 0.006]	[0.0, 0.0]	7
merimee_carmen. pers11	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers12	[0.2, 0.0015]	[0.4, 0.0128]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.4, 0.0465]	5
merimee_carmen. pers13	[0.0, 0.0]	[0.5, 0.0128]	[0.5, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_carmen. pers15	[0.2, 0.0015]	[0.0, 0.0]	[0.8, 0.0119]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_carmen. pers16	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. _	[0.4012, 0.1025]	[0.0116, 0.0128]	[0.1279, 0.0653]	[0.2093, 0.1417]	[0.2442, 0.0833]	[0.0058, 0.0233]	172
merimee_venusdille. pers1	[0.2131, 0.0193]	[0.1803, 0.0705]	[0.3115, 0.0564]	[0.0328, 0.0079]	[0.1967, 0.0238]	[0.0656, 0.093]	61
merimee_venusdille. pers2	[0.4324, 0.0238]	[0.0, 0.0]	[0.3243, 0.0356]	[0.0811, 0.0118]	[0.1622, 0.0119]	[0.0, 0.0]	37
merimee_venusdille. pers3	[0.2321, 0.0193]	[0.1786, 0.0641]	[0.375, 0.0623]	[0.0179, 0.0039]	[0.1964, 0.0218]	[0.0, 0.0]	56
merimee_venusdille. pers4	[0.0, 0.0]	[1.0, 0.0321]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_venusdille. pers5	[0.0, 0.0]	[0.6, 0.0192]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.4, 0.0465]	5
merimee_venusdille. pers6	[0.0, 0.0]	[0.5, 0.0128]	[0.25, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0233]	4
merimee_venusdille. pers7	[0.4615, 0.0178]	[0.1538, 0.0256]	[0.2308, 0.0178]	[0.0, 0.0]	[0.1538, 0.0079]	[0.0, 0.0]	26
merimee_venusdille. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.093]	4
merimee_venusdille. pers10	[0.25, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.75, 0.006]	[0.0, 0.0]	4
merimee_venusdille. pers11	[0.625, 0.0074]	[0.0, 0.0]	[0.25, 0.0059]	[0.0, 0.0]	[0.125, 0.002]	[0.0, 0.0]	8
merimee_venusdille. pers12	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. pers13	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
zeltner_contes. _	[0.3544, 0.0416]	[0.0253, 0.0128]	[0.038, 0.0089]	[0.1139, 0.0354]	[0.4684, 0.0734]	[0.0, 0.0]	79
zeltner_contes. mere	[0.0, 0.0]	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. Koli	[0.4242, 0.0208]	[0.1818, 0.0385]	[0.2121, 0.0208]	[0.0, 0.0]	[0.1818, 0.0119]	[0.0, 0.0]	33
zeltner_contes. marchands	[0.3333, 0.0059]	[0.0833, 0.0064]	[0.25, 0.0089]	[0.0, 0.0]	[0.25, 0.006]	[0.0833, 0.0233]	12
zeltner_contes. chef	[0.7143, 0.0074]	[0.0, 0.0]	[0.2857, 0.0059]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	7
zeltner_contes. assistants	[0.0, 0.0]	[0.75, 0.0192]	[0.25, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
zeltner_contes. meremarchand	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. marchand	[0.0, 0.0]	[0.0, 0.0]	[0.6, 0.0089]	[0.2, 0.0039]	[0.2, 0.002]	[0.0, 0.0]	5
zeltner_contes. vxpere	[0.4, 0.003]	[0.2, 0.0064]	[0.2, 0.003]	[0.2, 0.0039]	[0.0, 0.0]	[0.0, 0.0]	5
zeltner_contes. sofas	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
zeltner_contes. roi	[0.3333, 0.0015]	[0.6667, 0.0128]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	3
Total	[0.3421, 1.0]	[0.0793, 1.0]	[0.1713, 1.0]	[0.1291, 1.0]	[0.2562, 1.0]	[0.0219, 1.0]	1967
